[DEBUG] 2021-12-08 19:25:03,904 asyncio: Using selector: SelectSelector
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-08 19:25:04,089 customuser.forms: Forms added for Custom User Change Form
[DEBUG] 2021-12-08 19:25:04,282 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-09 23:58:27,993 asyncio: Using selector: SelectSelector
[INFO] 2021-12-09 23:58:28,289 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-09 23:58:28,290 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-09 23:58:28,290 customuser.forms: Forms added for Custom User Change Form
[DEBUG] 2021-12-09 23:58:28,926 asyncio: Using selector: SelectSelector
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-09 23:58:29,044 customuser.forms: Forms added for Custom User Change Form
[INFO] 2021-12-09 23:58:29,115 django.utils.autoreload: Watching for file changes with StatReloader
[INFO] 2021-12-09 23:58:29,420 daphne.server: HTTP/2 support not enabled (install the http2 and tls Twisted extras)
[INFO] 2021-12-09 23:58:29,420 daphne.server: Configuring endpoint tcp:port=8000:interface=127.0.0.1
[INFO] 2021-12-09 23:58:29,421 daphne.server: Listening on TCP address 127.0.0.1:8000
[INFO] 2021-12-09 23:58:48,144 django.channels.server: HTTP GET /static/homepagepic.png 304 [0.00, 127.0.0.1:53094]
[DEBUG] 2021-12-10 00:01:46,884 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,885 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:01:46,902 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,902 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,902 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:01:46,902 django.channels.server: HTTP GET /profile 200 [0.02, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:01:46,919 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,921 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,922 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,922 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:01:46,922 django.channels.server: HTTP GET /static/customstyle.css 304 [0.00, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:01:46,925 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,927 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,927 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,927 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:01:46,927 django.channels.server: HTTP GET /static/homepagepic.png 304 [0.00, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:01:46,930 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:46,931 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:01:47,023 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:47,023 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:47,023 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:01:47,023 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:01:47,023 django.channels.server: HTTP GET /media/photos/h3.jpeg 200 [0.09, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:02:41,943 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:02:41,945 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:02:41,961 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:02:41,961 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:02:41,961 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:02:41,961 django.channels.server: HTTP GET /profile 200 [0.02, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:02:41,977 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:02:41,978 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:02:41,979 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:02:41,980 daphne.http_protocol: HTTP close for ['127.0.0.1', 53123]
[DEBUG] 2021-12-10 00:02:41,980 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53123]
[INFO] 2021-12-10 00:02:41,980 django.channels.server: HTTP GET /static/customstyle.css 304 [0.00, 127.0.0.1:53123]
[DEBUG] 2021-12-10 00:02:41,981 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:02:41,981 daphne.http_protocol: HTTP close for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:02:41,981 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53124]
[INFO] 2021-12-10 00:02:41,981 django.channels.server: HTTP GET /static/homepagepic.png 304 [0.00, 127.0.0.1:53124]
[DEBUG] 2021-12-10 00:02:41,984 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:02:41,985 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:02:41,990 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:02:41,990 daphne.http_protocol: HTTP close for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:02:41,990 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53124]
[INFO] 2021-12-10 00:02:41,990 django.channels.server: HTTP GET /media/photos/h3.jpeg 304 [0.01, 127.0.0.1:53124]
[DEBUG] 2021-12-10 00:03:09,194 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,195 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:03:09,206 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,207 daphne.http_protocol: HTTP close for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,207 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53124]
[INFO] 2021-12-10 00:03:09,207 django.channels.server: HTTP GET /profile 200 [0.01, 127.0.0.1:53124]
[DEBUG] 2021-12-10 00:03:09,223 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,224 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,225 daphne.http_protocol: HTTP close for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,225 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53124]
[INFO] 2021-12-10 00:03:09,225 django.channels.server: HTTP GET /static/customstyle.css 304 [0.00, 127.0.0.1:53124]
[DEBUG] 2021-12-10 00:03:09,228 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,230 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,230 daphne.http_protocol: HTTP close for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:09,230 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53124]
[INFO] 2021-12-10 00:03:09,230 django.channels.server: HTTP GET /static/homepagepic.png 304 [0.00, 127.0.0.1:53124]
[DEBUG] 2021-12-10 00:03:51,275 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:51,276 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:03:51,478 daphne.http_protocol: HTTP 500 response started for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:51,478 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:51,478 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:51,478 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:51,478 daphne.http_protocol: HTTP close for ['127.0.0.1', 53124]
[DEBUG] 2021-12-10 00:03:51,479 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 53124]
[ERROR] 2021-12-10 00:03:51,479 django.channels.server: HTTP GET /profile 500 [0.20, 127.0.0.1:53124]
[DEBUG] 2021-12-10 00:04:17,591 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:17,592 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:04:17,657 daphne.http_protocol: HTTP 500 response started for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:17,658 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:17,658 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:17,658 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:17,658 daphne.http_protocol: HTTP close for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:17,659 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49422]
[ERROR] 2021-12-10 00:04:17,659 django.channels.server: HTTP GET /profile 500 [0.07, 127.0.0.1:49422]
[DEBUG] 2021-12-10 00:04:21,609 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:21,610 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:04:21,696 daphne.http_protocol: HTTP 500 response started for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:21,696 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:21,696 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:21,696 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:21,696 daphne.http_protocol: HTTP close for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:21,697 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49422]
[ERROR] 2021-12-10 00:04:21,697 django.channels.server: HTTP GET /profile 500 [0.09, 127.0.0.1:49422]
[DEBUG] 2021-12-10 00:04:38,349 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:38,349 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:04:38,405 daphne.http_protocol: HTTP 500 response started for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:38,405 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:38,405 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:38,405 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:38,405 daphne.http_protocol: HTTP close for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:38,405 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49422]
[ERROR] 2021-12-10 00:04:38,406 django.channels.server: HTTP GET /profile 500 [0.06, 127.0.0.1:49422]
[DEBUG] 2021-12-10 00:04:48,830 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:48,831 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:04:48,886 daphne.http_protocol: HTTP 500 response started for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:48,886 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:48,886 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:48,886 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:48,887 daphne.http_protocol: HTTP close for ['127.0.0.1', 49422]
[DEBUG] 2021-12-10 00:04:48,887 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49422]
[ERROR] 2021-12-10 00:04:48,887 django.channels.server: HTTP GET /profile 500 [0.06, 127.0.0.1:49422]
[DEBUG] 2021-12-10 00:06:41,949 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49454]
[DEBUG] 2021-12-10 00:06:41,950 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:06:42,008 daphne.http_protocol: HTTP 500 response started for ['127.0.0.1', 49454]
[DEBUG] 2021-12-10 00:06:42,008 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49454]
[DEBUG] 2021-12-10 00:06:42,008 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49454]
[DEBUG] 2021-12-10 00:06:42,008 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49454]
[DEBUG] 2021-12-10 00:06:42,008 daphne.http_protocol: HTTP close for ['127.0.0.1', 49454]
[DEBUG] 2021-12-10 00:06:42,008 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49454]
[ERROR] 2021-12-10 00:06:42,008 django.channels.server: HTTP GET /profile 500 [0.06, 127.0.0.1:49454]
[DEBUG] 2021-12-10 00:06:45,683 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:06:45,819 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:06:48,054 asyncio: Using selector: SelectSelector
[INFO] 2021-12-10 00:06:48,182 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-10 00:06:48,183 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-10 00:06:48,183 customuser.forms: Forms added for Custom User Change Form
[DEBUG] 2021-12-10 00:06:48,729 asyncio: Using selector: SelectSelector
[INFO] 2021-12-10 00:06:48,845 customuser.forms: Forms added for Custom User Creation Admin Form
[INFO] 2021-12-10 00:06:48,845 customuser.forms: Forms added for Custom User Creation EU Form
[INFO] 2021-12-10 00:06:48,846 customuser.forms: Forms added for Custom User Change Form
[INFO] 2021-12-10 00:06:48,868 django.utils.autoreload: Watching for file changes with StatReloader
[INFO] 2021-12-10 00:06:48,988 daphne.server: HTTP/2 support not enabled (install the http2 and tls Twisted extras)
[INFO] 2021-12-10 00:06:48,988 daphne.server: Configuring endpoint tcp:port=8000:interface=127.0.0.1
[INFO] 2021-12-10 00:06:48,989 daphne.server: Listening on TCP address 127.0.0.1:8000
[DEBUG] 2021-12-10 00:06:55,091 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:06:55,093 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:06:55,166 daphne.http_protocol: HTTP 500 response started for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:06:55,167 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:06:55,167 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:06:55,167 daphne.http_protocol: HTTP response chunk for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:06:55,167 daphne.http_protocol: HTTP close for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:06:55,167 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49472]
[ERROR] 2021-12-10 00:06:55,167 django.channels.server: HTTP GET /profile 500 [0.08, 127.0.0.1:49472]
[DEBUG] 2021-12-10 00:07:10,185 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,186 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:07:10,208 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,208 daphne.http_protocol: HTTP close for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,208 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49472]
[INFO] 2021-12-10 00:07:10,209 django.channels.server: HTTP GET /profile 200 [0.02, 127.0.0.1:49472]
[DEBUG] 2021-12-10 00:07:10,226 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,227 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,228 daphne.http_protocol: HTTP close for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,228 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49472]
[INFO] 2021-12-10 00:07:10,228 django.channels.server: HTTP GET /static/customstyle.css 304 [0.00, 127.0.0.1:49472]
[DEBUG] 2021-12-10 00:07:10,237 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,238 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,239 daphne.http_protocol: HTTP close for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,239 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49472]
[INFO] 2021-12-10 00:07:10,239 django.channels.server: HTTP GET /static/homepagepic.png 304 [0.00, 127.0.0.1:49472]
[DEBUG] 2021-12-10 00:07:10,242 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,243 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:07:10,248 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,248 daphne.http_protocol: HTTP close for ['127.0.0.1', 49472]
[DEBUG] 2021-12-10 00:07:10,248 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49472]
[INFO] 2021-12-10 00:07:10,248 django.channels.server: HTTP GET /media/photos/h3.jpeg 304 [0.01, 127.0.0.1:49472]
[DEBUG] 2021-12-10 00:11:55,170 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,171 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:11:55,190 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,190 daphne.http_protocol: HTTP close for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,190 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49555]
[INFO] 2021-12-10 00:11:55,190 django.channels.server: HTTP GET /profile 200 [0.02, 127.0.0.1:49555]
[DEBUG] 2021-12-10 00:11:55,205 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,207 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,208 daphne.http_protocol: HTTP close for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,208 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49555]
[INFO] 2021-12-10 00:11:55,208 django.channels.server: HTTP GET /static/customstyle.css 304 [0.00, 127.0.0.1:49555]
[DEBUG] 2021-12-10 00:11:55,211 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,213 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,213 daphne.http_protocol: HTTP close for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,213 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49555]
[INFO] 2021-12-10 00:11:55,213 django.channels.server: HTTP GET /static/homepagepic.png 304 [0.00, 127.0.0.1:49555]
[DEBUG] 2021-12-10 00:11:55,217 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,218 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:11:55,222 daphne.http_protocol: HTTP 304 response started for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,222 daphne.http_protocol: HTTP close for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:11:55,222 daphne.http_protocol: HTTP response complete for ['127.0.0.1', 49555]
[INFO] 2021-12-10 00:11:55,222 django.channels.server: HTTP GET /media/photos/h3.jpeg 304 [0.00, 127.0.0.1:49555]
[DEBUG] 2021-12-10 00:12:51,615 daphne.http_protocol: HTTP b'GET' request for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:12:51,616 asyncio: Using selector: SelectSelector
[DEBUG] 2021-12-10 00:12:51,634 daphne.http_protocol: HTTP 200 response started for ['127.0.0.1', 49555]
[DEBUG] 2021-12-10 00:12:51,634 daphne.http_protocol: HTTP close for ['127.0.0.1', 49555]
